Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume
Saudi Arabia;SL;30325255.0;29957837.0;24344559.0;25762552.0;25771938.0;1.226%;23.058%;-5.504%;-0.036%;3.307%;136162141.0;16.073%;185490465.0;183700638.0;144905229.0;158307156.0;157751715.0;0.974%;26.773%;-8.466%;0.352%;3.293%;830155203.0;25.241%
Saudi Arabia;GP;31672634.0;25078994.0;19108675.0;14747318.0;8207814.0;26.291%;31.244%;29.574%;79.674%;31.006%;98815435.0;11.665%;782727.0;782925.0;591630.0;405288.0;173535.0;-0.025%;32.334%;45.978%;133.548%;35.159%;2736105.0;0.083%
Saudi Arabia;SG + B;11586354.0;7388523.0;3584415.0;471262.0;0.0;56.816%;106.129%;660.599%;0.000%;0.000%;23030554.0;2.719%;20887464.0;13298865.0;6356571.0;971460.0;0.0;57.062%;109.214%;554.332%;0.000%;0.000%;41514360.0;1.262%
Saudi Arabia;GT;5432828.0;5375663.0;5213291.0;5992210.0;6097957.0;1.063%;3.115%;-12.999%;-1.734%;-2.283%;28111949.0;3.318%;13939140.0;14307420.0;13031220.0;14069430.0;13937520.0;-2.574%;9.793%;-7.379%;0.946%;0.002%;69284730.0;2.107%
Saudi Arabia;SL + B;5250030.0;7831795.0;6666358.0;6719026.0;7432260.0;-32.965%;17.482%;-0.784%;-9.596%;-6.716%;33899469.0;4.002%;45182250.0;67536210.0;56046570.0;57566610.0;63517350.0;-33.099%;20.500%;-2.640%;-9.369%;-6.585%;289848990.0;8.813%
Saudi Arabia;GT + B;1075854.0;745054.0;584809.0;348591.0;7317.0;44.399%;27.401%;67.764%;4664.125%;171.321%;2761625.0;0.326%;3443781.0;2217765.0;1865244.0;1275225.0;26766.0;55.282%;18.899%;46.268%;4664.347%;164.174%;8828781.0;0.268%
Saudi Arabia;X + GT;416541.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;416541.0;0.049%;447042.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;447042.0;0.014%
Saudi Arabia;GD;249511.0;362376.0;312564.0;378202.0;393868.0;-31.146%;15.937%;-17.355%;-3.977%;-8.726%;1696521.0;0.200%;1322550.0;1920810.0;1656780.0;2004690.0;2087730.0;-31.146%;15.936%;-17.355%;-3.978%;-8.726%;8992560.0;0.273%
Saudi Arabia;IAG;40470.0;83917.0;115216.0;195613.0;192276.0;-51.774%;-27.165%;-41.100%;1.736%;-26.778%;627492.0;0.074%;272910.0;686220.0;856050.0;1476990.0;1466280.0;-60.230%;-19.839%;-42.041%;0.730%;-28.557%;4758450.0;0.145%
Russia;B;50421479.0;45432270.0;39001638.0;35239115.0;29410006.0;10.982%;16.488%;10.677%;19.820%;11.384%;199504508.0;30.525%;1225591320.0;1173336660.0;1073157910.0;981441810.0;805931880.0;4.454%;9.335%;9.345%;21.777%;8.745%;5259459580.0;55.959%
Russia;SL;25220655.0;27416678.0;26814179.0;25144329.0;22654216.0;-8.010%;2.247%;6.641%;10.992%;2.170%;127250057.0;19.469%;609590172.0;618708086.0;612292922.0;578201798.0;547273492.0;-1.474%;1.048%;5.896%;5.651%;2.180%;2966066470.0;31.558%
Russia;X + B;15492816.0;16129666.0;16339474.0;14423011.0;11887521.0;-3.948%;-1.284%;13.288%;21.329%;5.441%;74272488.0;11.364%;36934186.0;37012916.0;37205052.0;33107352.0;27880572.0;-0.213%;-0.516%;12.377%;18.747%;5.785%;172140078.0;1.832%
Russia;SG;23257606.0;18758935.0;14349156.0;9952510.0;4901304.0;23.981%;30.732%;44.176%;103.058%;36.537%;71219511.0;10.897%;31710976.0;24988950.0;19496020.0;13879000.0;6903420.0;26.900%;28.175%;40.471%;101.045%;35.653%;96978366.0;1.032%
Russia;X;22236128.0;20369441.0;17559939.0;14058675.0;9753888.0;9.164%;15.999%;24.905%;44.134%;17.917%;83978071.0;12.849%;72143314.0;64885604.0;56452872.0;46019874.0;32451180.0;11.185%;14.938%;22.671%;41.813%;17.326%;271952844.0;2.894%
Russia;SL + B;8441798.0;9022720.0;9049558.0;9258547.0;9126224.0;-6.438%;-0.297%;-2.257%;1.450%;-1.547%;44898847.0;6.870%;110506300.0;115017130.0;120234810.0;127915630.0;127661590.0;-3.922%;-4.340%;-6.005%;0.199%;-2.845%;601335460.0;6.398%
Russia;GP;15559449.0;13238666.0;9091889.0;5731954.0;3148168.0;17.530%;45.610%;58.618%;82.073%;37.654%;46770126.0;7.156%;509273.0;422266.0;274953.0;162027.0;77374.0;20.605%;53.578%;69.696%;109.408%;45.771%;1445893.0;0.015%
Russia;SG + B;2447656.0;1658517.0;465100.0;0.0;0.0;47.581%;256.594%;0.000%;0.000%;0.000%;4571273.0;0.699%;5032590.0;3403830.0;928710.0;0.0;0.0;47.851%;266.512%;0.000%;0.000%;0.000%;9365130.0;0.100%
Russia;GD;87318.0;205571.0;248549.0;236443.0;203278.0;-57.524%;-17.292%;5.120%;16.315%;-15.549%;981159.0;0.150%;1358880.0;4037100.0;4991400.0;4733160.0;3954360.0;-66.340%;-19.119%;5.456%;19.695%;-19.235%;19074900.0;0.203%
Russia;GT;1442.0;112.0;172.0;54.0;19.0;1187.500%;-34.884%;218.519%;184.211%;137.707%;1799.0;0.000%;6720.0;744.0;1110.0;630.0;330.0;803.226%;-32.973%;76.190%;90.909%;82.714%;9534.0;0.000%
Russia;IAG;28.0;620.0;29956.0;49677.0;58389.0;-95.484%;-97.930%;-39.698%;-14.921%;-78.315%;138670.0;0.021%;450.0;4230.0;217350.0;291780.0;392760.0;-89.362%;-98.054%;-25.509%;-25.710%;-74.188%;906570.0;0.010%
Russia;GT + B;0.0;0.0;40.0;81.0;264.0;0.000%;-100.000%;-50.617%;-69.318%;-100.000%;385.0;0.000%;0.0;0.0;224.0;504.0;1176.0;0.000%;-100.000%;-55.556%;-57.143%;-100.000%;1904.0;0.000%
Egypt;X + B;43455442.0;42508893.0;34081253.0;24609981.0;17538388.0;2.227%;24.728%;38.485%;40.321%;19.898%;162193957.0;32.281%;279263295.0;271386357.0;205239327.0;144565203.0;128593665.0;2.902%;32.229%;41.970%;12.420%;16.777%;1029047847.0;14.550%
