Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume
Ukraine;SL;11152893.0;10675843.0;9609930.0;9387179.0;8327736.0;4.468%;11.092%;2.373%;12.722%;6.016%;49153581.0;29.948%;159732540.0;162330300.0;147308670.0;140939630.0;133343090.0;-1.600%;10.197%;4.519%;5.697%;3.678%;743654230.0;31.178%
Ukraine;SG;3765034.0;2661014.0;1851288.0;1261555.0;675582.0;41.489%;43.739%;46.747%;86.736%;41.000%;10214473.0;6.223%;5230470.0;4064040.0;2839110.0;2022330.0;1135140.0;28.701%;43.145%;40.388%;78.157%;35.737%;15291090.0;0.641%
Ukraine;SG + B;3910019.0;2345974.0;1016815.0;167488.0;0.0;66.669%;130.718%;507.097%;0.000%;0.000%;7440296.0;4.533%;7057632.0;4573792.0;1786016.0;251636.0;0.0;54.306%;156.089%;609.762%;0.000%;0.000%;13669076.0;0.573%
Ukraine;X + B;1828291.0;2040965.0;1710280.0;1240986.0;1021006.0;-10.420%;19.335%;37.816%;21.545%;12.358%;7841528.0;4.778%;5039216.0;4636660.0;3955504.0;3705520.0;2946692.0;8.682%;17.220%;6.746%;25.752%;11.328%;20283592.0;0.850%
Ukraine;SL + B;2389889.0;2323325.0;2257225.0;2290102.0;2453902.0;2.865%;2.928%;-1.436%;-6.675%;-0.527%;11714443.0;7.137%;22348600.0;24011220.0;25088240.0;25124540.0;29829340.0;-6.924%;-4.293%;-0.144%;-15.772%;-5.611%;126401940.0;5.300%
Ukraine;GP;1221596.0;790746.0;419412.0;229099.0;107900.0;54.487%;88.537%;83.070%;112.325%;62.473%;2768753.0;1.687%;32742.0;20586.0;7292.0;3672.0;1698.0;59.050%;182.309%;98.584%;116.254%;80.731%;65990.0;0.003%
Ukraine;X;956237.0;580733.0;396419.0;311600.0;309677.0;64.660%;46.495%;27.220%;0.621%;25.294%;2554666.0;1.556%;2460194.0;1157394.0;672306.0;509838.0;577380.0;112.563%;72.153%;31.867%;-11.698%;33.629%;5377112.0;0.225%
Ukraine;GT;229010.0;200427.0;149855.0;80813.0;73281.0;14.261%;33.747%;85.434%;10.278%;25.595%;733386.0;0.447%;1077496.0;1053136.0;946428.0;525748.0;502408.0;2.313%;11.275%;80.016%;4.646%;16.485%;4105216.0;0.172%
Ukraine;IAG;200787.0;198590.0;157101.0;80410.0;63899.0;1.106%;26.409%;95.375%;25.839%;25.733%;700787.0;0.427%;1191720.0;1344570.0;1638390.0;1546740.0;1356000.0;-11.368%;-17.933%;5.925%;14.066%;-2.550%;7077420.0;0.297%
Ukraine;GD;86412.0;81719.0;75587.0;66591.0;67757.0;5.743%;8.113%;13.509%;-1.721%;4.984%;378066.0;0.230%;386610.0;363750.0;314700.0;287700.0;284100.0;6.285%;15.586%;9.385%;1.267%;6.356%;1636860.0;0.069%
South Africa;B;13691841.0;12544842.0;12466878.0;11883942.0;10935834.0;9.143%;0.625%;4.905%;8.670%;4.598%;61523337.0;36.471%;349840326.0;325891692.0;321968226.0;319435314.0;309136422.0;7.349%;1.219%;0.793%;3.332%;2.505%;1626271980.0;68.424%
South Africa;SL;9081975.0;8430243.0;7825075.0;7326652.0;6733952.0;7.731%;7.734%;6.803%;8.802%;6.165%;39397897.0;23.355%;125477421.0;121298844.0;117735369.0;119938803.0;118778190.0;3.445%;3.027%;-1.837%;0.977%;1.103%;603228627.0;25.380%
South Africa;SG;7059627.0;5222084.0;2769180.0;413429.0;11.0;35.188%;88.579%;569.808%;3758345.455%;1350.367%;15464331.0;9.167%;11316180.0;8579790.0;4733370.0;754170.0;6330.0;31.893%;81.262%;527.626%;11814.218%;347.156%;25389840.0;1.068%
South Africa;GP;5836074.0;5100906.0;4557759.0;4343861.0;3954844.0;14.412%;11.917%;4.924%;9.836%;8.093%;23793444.0;14.105%;176493.0;150933.0;140442.0;136548.0;133557.0;16.935%;7.470%;2.852%;2.239%;5.733%;737973.0;0.031%
South Africa;X + B;3878801.0;3348789.0;3017522.0;2490902.0;1968543.0;15.827%;10.978%;21.142%;26.535%;14.528%;14704557.0;8.717%;15535098.0;12595086.0;11279304.0;9511695.0;8003172.0;23.343%;11.665%;18.584%;18.849%;14.185%;56924355.0;2.395%
South Africa;X;2575927.0;2470879.0;2210292.0;1885265.0;1515264.0;4.251%;11.790%;17.240%;24.418%;11.196%;10657627.0;6.318%;13854573.0;12025692.0;8763939.0;6084687.0;5100894.0;15.208%;37.218%;44.033%;19.287%;22.121%;45829785.0;1.928%
South Africa;SL + B;248539.0;268613.0;314990.0;386401.0;500062.0;-7.473%;-14.723%;-18.481%;-22.729%;-13.049%;1718605.0;1.019%;1564590.0;1755630.0;2152770.0;2694300.0;3853350.0;-10.882%;-18.448%;-20.099%;-30.079%;-16.495%;12020640.0;0.506%
South Africa;GT;247615.0;272337.0;279742.0;273769.0;247014.0;-9.078%;-2.647%;2.182%;10.831%;0.049%;1320477.0;0.783%;1097550.0;1165881.0;1185627.0;1150455.0;1081287.0;-5.861%;-1.665%;3.057%;6.397%;0.299%;5680800.0;0.239%
South Africa;SG + B;46585.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;46585.0;0.028%;115200.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;115200.0;0.005%
South Africa;GD;10439.0;12347.0;12663.0;13920.0;16717.0;-15.453%;-2.495%;-9.030%;-16.731%;-8.988%;66086.0;0.039%;76860.0;99180.0;106740.0;115470.0;149850.0;-22.505%;-7.083%;-7.560%;-22.943%;-12.500%;548100.0;0.023%
South Africa;IAG;0.0;0.0;0.0;76.0;13.0;0.000%;0.000%;-100.000%;484.615%;-100.000%;89.0;0.000%;0.0;0.0;0.0;540.0;90.0;0.000%;0.000%;-100.000%;500.000%;-100.000%;630.0;0.000%
Morocco;B;8800772.0;7816016.0;6602613.0;6542570.0;5956502.0;12.599%;18.378%;0.918%;9.839%;8.120%;35718473.0;24.031%;225355026.0;197823464.0;162618540.0;159713830.0;142773050.0;13.917%;21.649%;1.819%;11.866%;9.558%;888283910.0;54.831%
Morocco;X + B;10717835.0;9584825.0;7773021.0;6403192.0;4944995.0;11.821%;23.309%;21.393%;29.488%;16.732%;39423868.0;26.524%;24468072.0;21845664.0;17641172.0;14454308.0;11059396.0;12.004%;23.833%;22.048%;30.697%;17.212%;89468612.0;5.523%
Morocco;SL;9394151.0;9780311.0;8494778.0;9254892.0;9296815.0;-3.948%;15.133%;-8.213%;-0.451%;0.209%;46220947.0;31.097%;104643000.0;106192530.0;91406700.0;95576630.0;95969360.0;-1.459%;16.176%;-4.363%;-0.409%;1.746%;493788220.0;30.480%
Morocco;SL + B;3364919.0;3044073.0;2949533.0;2810107.0;2598763.0;10.540%;3.205%;4.962%;8.132%;5.303%;14767395.0;9.936%;28938450.0;26343120.0;25917090.0;24488040.0;22152780.0;9.852%;1.644%;5.836%;10.542%;5.490%;127839480.0;7.891%
Morocco;X;3238007.0;2905693.0;2420076.0;2124059.0;1813967.0;11.437%;20.066%;13.936%;17.095%;12.287%;12501802.0;8.411%;5330778.0;4811304.0;4033966.0;3517026.0;2965784.0;10.797%;19.270%;14.698%;18.587%;12.442%;20658858.0;1.275%
Algeria;B;31582382.0;30922999.0;28666445.0;27451809.0;25878813.0;2.132%;7.872%;4.425%;6.078%;4.064%;144502448.0;100.000%;1057655570.0;1036303694.0;946598158.0;907920416.0;857344674.0;2.060%;9.477%;4.260%;5.899%;4.289%;4805822512.0;100.000%
Tunisia;B;7074044.0;5712625.0;4001689.0;4034677.0;3467326.0;23.832%;42.755%;-0.818%;16.363%;15.328%;24290361.0;25.015%;191337120.0;154938270.0;113385780.0;121455840.0;115598310.0;23.492%;36.647%;-6.644%;5.067%;10.604%;696715320.0;60.083%
Tunisia;SL;10059738.0;9282723.0;7825784.0;7142987.0;6806733.0;8.371%;18.617%;9.559%;4.940%;8.126%;41117965.0;42.345%;70499840.0;63005740.0;53900050.0;50808990.0;51132150.0;11.894%;16.894%;6.084%;-0.632%;6.635%;289346770.0;24.953%
Tunisia;X + B;4423274.0;4103106.0;2922231.0;2068791.0;1607876.0;7.803%;40.410%;41.253%;28.666%;22.433%;15125278.0;15.576%;12277030.0;11356052.0;8014968.0;5573056.0;4185742.0;8.110%;41.686%;43.816%;33.144%;24.012%;41406848.0;3.571%
Tunisia;IAG;1848900.0;1710594.0;1618351.0;1688935.0;1549999.0;8.085%;5.700%;-4.179%;8.964%;3.590%;8416779.0;8.668%;22216860.0;22766940.0;20719710.0;19285380.0;16430670.0;-2.416%;9.881%;7.437%;17.374%;6.220%;101419560.0;8.746%
Tunisia;X;1979574.0;1556626.0;1261769.0;968121.0;881603.0;27.171%;23.369%;30.332%;9.814%;17.560%;6647693.0;6.846%;4217254.0;3444922.0;2774216.0;1943650.0;1732722.0;22.419%;24.176%;42.732%;12.173%;19.470%;14112764.0;1.217%
Tunisia;SL + B;383826.0;317328.0;251603.0;267055.0;285431.0;20.956%;26.123%;-5.786%;-6.438%;6.103%;1505243.0;1.550%;4023270.0;3609780.0;2960100.0;2909190.0;3077190.0;11.455%;21.948%;1.750%;-5.460%;5.508%;16579530.0;1.430%
Jordan;B;2644283.0;2437502.0;2328867.0;2588407.0;2377625.0;8.483%;4.665%;-10.027%;8.865%;2.149%;12376684.0;15.113%;42299115.0;39469347.0;37436256.0;42621501.0;41269032.0;7.170%;5.431%;-12.166%;3.277%;0.494%;203095251.0;47.206%
Jordan;X + B;6109937.0;5692547.0;5442552.0;5128928.0;4234627.0;7.332%;4.593%;6.115%;21.119%;7.608%;26608591.0;32.491%;13358307.0;12437724.0;11774934.0;10967148.0;8977896.0;7.402%;5.629%;7.366%;22.157%;8.272%;57516009.0;13.369%
Jordan;SG;3073938.0;2570103.0;2073475.0;1480384.0;568090.0;19.604%;23.951%;40.063%;160.590%;40.170%;9765990.0;11.925%;3122397.0;2593845.0;2063187.0;1436202.0;550866.0;20.377%;25.720%;43.656%;160.717%;41.478%;9766497.0;2.270%
Jordan;SL;1857308.0;1502493.0;2825405.0;2730523.0;2316292.0;23.615%;-46.822%;3.475%;17.883%;-4.321%;11232021.0;13.715%;16145757.0;13115943.0;23047221.0;22823361.0;18966141.0;23.100%;-43.091%;0.981%;20.337%;-3.169%;94098423.0;21.872%
Jordan;X;1911787.0;1845110.0;1645443.0;1948541.0;1938669.0;3.614%;12.135%;-15.555%;0.509%;-0.279%;9289550.0;11.343%;3604407.0;3305862.0;2842539.0;3287859.0;3074097.0;9.031%;16.300%;-13.544%;6.954%;3.234%;16114764.0;3.746%
Jordan;SG + B;804578.0;436042.0;184043.0;0.0;0.0;84.518%;136.924%;0.000%;0.000%;0.000%;1424663.0;1.740%;1503720.0;832140.0;342480.0;0.0;0.0;80.705%;142.975%;0.000%;0.000%;0.000%;2678340.0;0.623%
Jordan;SL + B;755035.0;432816.0;889085.0;1523918.0;900395.0;74.447%;-51.319%;-41.658%;69.250%;-3.460%;4501249.0;5.496%;6663846.0;4050876.0;7697745.0;13114584.0;8121510.0;64.504%;-47.376%;-41.304%;61.480%;-3.879%;39648561.0;9.216%
Jordan;GP;750345.0;653441.0;709170.0;519430.0;497632.0;14.830%;-7.858%;36.529%;4.380%;8.560%;3130018.0;3.822%;17580.0;15099.0;16386.0;11523.0;10131.0;16.432%;-7.854%;42.203%;13.740%;11.654%;70719.0;0.016%
Jordan;X + SG;458024.0;190586.0;0.0;0.0;0.0;140.324%;0.000%;0.000%;0.000%;0.000%;648610.0;0.792%;308190.0;125970.0;0.0;0.0;0.0;144.653%;0.000%;0.000%;0.000%;0.000%;434160.0;0.101%
Jordan;GT;349665.0;330857.0;450120.0;484096.0;493933.0;5.685%;-26.496%;-7.018%;-1.992%;-6.675%;2108671.0;2.575%;770910.0;720660.0;749490.0;791460.0;753840.0;6.973%;-3.847%;-5.303%;4.990%;0.449%;3786360.0;0.880%
Jordan;GT + B;133461.0;126484.0;121507.0;103118.0;17410.0;5.516%;4.096%;17.833%;492.292%;50.283%;501980.0;0.613%;328830.0;311634.0;299373.0;254067.0;42894.0;5.518%;4.096%;17.832%;492.314%;50.285%;1236798.0;0.287%
Jordan;GD;47967.0;54894.0;41278.0;44979.0;51322.0;-12.619%;32.986%;-8.228%;-12.359%;-1.343%;240440.0;0.294%;343470.0;390630.0;295380.0;323100.0;370620.0;-12.073%;32.247%;-8.579%;-12.822%;-1.510%;1723200.0;0.401%
Jordan;X + GT;43237.0;23739.0;0.0;0.0;0.0;82.135%;0.000%;0.000%;0.000%;0.000%;66976.0;0.082%;39108.0;21474.0;0.0;0.0;0.0;82.118%;0.000%;0.000%;0.000%;0.000%;60582.0;0.014%
Belarus;B;4945820.0;4513712.0;3811844.0;3196693.0;2764939.0;9.573%;18.413%;19.243%;15.615%;12.334%;19233008.0;38.211%;152050770.0;147829590.0;130026794.0;113797004.0;102168502.0;2.855%;13.692%;14.262%;11.382%;8.277%;645872660.0;57.573%
Belarus;SL;5244241.0;5235367.0;4959763.0;4566512.0;4190607.0;0.170%;5.557%;8.612%;8.970%;4.588%;24196490.0;48.072%;76897550.0;78970480.0;74763200.0;73537560.0;72966004.0;-2.625%;5.627%;1.667%;0.783%;1.055%;377134794.0;33.618%
Belarus;SL + B;1358575.0;1121378.0;966418.0;849559.0;810514.0;21.152%;16.034%;13.755%;4.817%;10.883%;5106444.0;10.145%;23255760.0;20766240.0;18618650.0;17027050.0;15490240.0;11.988%;11.535%;9.347%;9.921%;8.466%;95157940.0;8.482%
Belarus;SG;351948.0;285801.0;82040.0;27451.0;3014.0;23.144%;248.368%;198.860%;810.783%;159.100%;750254.0;1.491%;346350.0;330390.0;94020.0;32640.0;4230.0;4.831%;251.404%;188.051%;671.631%;141.343%;807630.0;0.072%
Belarus;X;251330.0;183568.0;92510.0;64839.0;49000.0;36.914%;98.430%;42.676%;32.324%;38.679%;641247.0;1.274%;722680.0;612892.0;307020.0;180432.0;79716.0;17.913%;99.626%;70.158%;126.344%;55.410%;1902740.0;0.170%
Belarus;X + B;96568.0;64489.0;65837.0;79952.0;57709.0;49.743%;-2.047%;-17.654%;38.543%;10.845%;364555.0;0.724%;196464.0;211080.0;164900.0;199888.0;159878.0;-6.924%;28.005%;-17.504%;25.025%;4.207%;932210.0;0.083%
Belarus;GP;5497.0;1748.0;5573.0;6050.0;14869.0;214.474%;-68.634%;-7.884%;-59.311%;-18.046%;33737.0;0.067%;128.0;38.0;94.0;98.0;268.0;236.842%;-59.574%;-4.082%;-63.433%;-13.739%;626.0;0.000%
Belarus;SG + B;0.0;0.0;4823.0;2860.0;0.0;0.000%;-100.000%;68.636%;0.000%;0.000%;7683.0;0.015%;0.0;0.0;11160.0;7140.0;0.0;0.000%;-100.000%;56.303%;0.000%;0.000%;18300.0;0.002%
Kazakhstan;B;1936876.0;1805455.0;1507322.0;1138898.0;820193.0;7.279%;19.779%;32.349%;38.857%;18.751%;7208744.0;40.064%;37192590.0;36531900.0;32177370.0;29239740.0;23364270.0;1.809%;13.533%;10.047%;25.147%;9.744%;158505870.0;59.430%
Kazakhstan;SG;822867.0;766728.0;513742.0;337426.0;139288.0;7.322%;49.244%;52.253%;142.251%;42.654%;2580051.0;14.339%;1063102.0;969386.0;652590.0;458070.0;197490.0;9.668%;48.544%;42.465%;131.946%;40.025%;3340638.0;1.253%
Kazakhstan;SL;914208.0;896750.0;1052633.0;976093.0;766631.0;1.947%;-14.809%;7.841%;27.322%;3.584%;4606315.0;25.600%;14132430.0;14294100.0;16940520.0;21518910.0;19314230.0;-1.131%;-15.622%;-21.276%;11.415%;-6.056%;86200190.0;32.320%
Kazakhstan;X;433804.0;389558.0;248567.0;192380.0;162947.0;11.358%;56.722%;29.206%;18.063%;21.632%;1427256.0;7.932%;1294764.0;1090818.0;638502.0;401440.0;270058.0;18.697%;70.840%;59.053%;48.650%;36.819%;3695582.0;1.386%
Kazakhstan;SL + B;133577.0;160936.0;163553.0;134980.0;101209.0;-17.000%;-1.600%;21.168%;33.368%;5.707%;694255.0;3.858%;1720890.0;2288070.0;2284860.0;2536140.0;2121840.0;-24.789%;0.140%;-9.908%;19.526%;-4.102%;10951800.0;4.106%
Kazakhstan;X + B;219152.0;206725.0;214665.0;139380.0;107253.0;6.011%;-3.699%;54.014%;29.954%;15.363%;887175.0;4.931%;753312.0;665044.0;580552.0;429532.0;326252.0;13.273%;14.554%;35.159%;31.657%;18.218%;2754692.0;1.033%
Kazakhstan;GP;98776.0;91824.0;58960.0;113243.0;59709.0;7.571%;55.739%;-47.935%;89.658%;10.592%;422512.0;2.348%;3526.0;4134.0;2220.0;3708.0;1744.0;-14.707%;86.216%;-40.129%;112.615%;15.119%;15332.0;0.006%
Kazakhstan;SG + B;27154.0;4878.0;11103.0;12348.0;10460.0;456.663%;-56.066%;-10.083%;18.050%;21.021%;65943.0;0.366%;35980.0;6624.0;26160.0;31260.0;27360.0;443.176%;-74.679%;-16.315%;14.254%;5.630%;127384.0;0.048%
Kazakhstan;GD;810.0;353.0;5007.0;13145.0;24824.0;129.462%;-92.950%;-61.909%;-47.047%;-49.566%;44139.0;0.245%;11130.0;3240.0;100530.0;219690.0;349860.0;243.519%;-96.777%;-54.240%;-37.206%;-49.821%;684450.0;0.257%
Kazakhstan;X + SG;702.0;2706.0;413.0;0.0;0.0;-74.058%;555.206%;0.000%;0.000%;0.000%;3821.0;0.021%;480.0;1800.0;270.0;0.0;0.0;-73.333%;566.667%;0.000%;0.000%;0.000%;2550.0;0.001%
Kazakhstan;IAG;10.0;2442.0;9196.0;10698.0;8197.0;-99.590%;-73.445%;-14.040%;30.511%;-73.862%;30543.0;0.170%;360.0;30210.0;100470.0;127020.0;84840.0;-98.808%;-69.931%;-20.902%;49.717%;-66.462%;342900.0;0.129%
Kazakhstan;GT;0.0;2132.0;4424.0;8038.0;7775.0;-100.000%;-51.808%;-44.961%;3.383%;-100.000%;22369.0;0.124%;0.0;8582.0;12740.0;33040.0;35252.0;-100.000%;-32.637%;-61.441%;-6.275%;-100.000%;89614.0;0.034%
Ivory Coast;SL;1536252.0;1354380.0;1186725.0;1154106.0;1119467.0;13.428%;14.128%;2.826%;3.094%;6.534%;6350930.0;41.398%;7816720.0;7207820.0;6442080.0;6288210.0;6177140.0;8.448%;11.887%;2.447%;1.798%;4.821%;33931970.0;26.798%
Ivory Coast;B;851366.0;693158.0;531155.0;460852.0;409721.0;22.824%;30.500%;15.255%;12.479%;15.751%;2946252.0;19.205%;13369482.0;11390164.0;8329674.0;7029898.0;6142520.0;17.377%;36.742%;18.489%;14.446%;16.830%;46261738.0;36.536%
Ivory Coast;X + B;842676.0;724275.0;539494.0;439362.0;332612.0;16.348%;34.251%;22.790%;32.094%;20.433%;2878419.0;18.763%;3211674.0;2529898.0;1804508.0;1401612.0;992106.0;26.949%;40.199%;28.745%;41.276%;26.484%;9939798.0;7.850%
Ivory Coast;SL + B;652629.0;496137.0;381138.0;355342.0;321529.0;31.542%;30.173%;7.259%;10.516%;15.210%;2206775.0;14.385%;7304500.0;6482900.0;5613170.0;5673670.0;5762930.0;12.673%;15.494%;-1.066%;-1.549%;4.855%;30837170.0;24.354%
Ivory Coast;X;195172.0;188734.0;159909.0;157946.0;136488.0;3.411%;18.026%;1.243%;15.722%;7.415%;838249.0;5.464%;601806.0;530152.0;435596.0;420084.0;343728.0;13.516%;21.707%;3.693%;22.214%;11.853%;2331366.0;1.841%
Ivory Coast;IAG;2173.0;6665.0;22155.0;33601.0;37580.0;-67.397%;-69.916%;-34.064%;-10.588%;-43.452%;102174.0;0.666%;15840.0;86940.0;208260.0;307620.0;348870.0;-81.781%;-58.254%;-32.300%;-11.824%;-46.121%;967530.0;0.764%
Ivory Coast;GD;148.0;9646.0;8395.0;0.0;132.0;-98.466%;14.902%;0.000%;-100.000%;2.315%;18321.0;0.119%;3420.0;1204470.0;1141110.0;0.0;1080.0;-99.716%;5.552%;0.000%;-100.000%;25.927%;2350080.0;1.856%
Senegal;B;1246962.0;1120568.0;1022902.0;874027.0;886484.0;11.279%;9.548%;17.033%;-1.405%;7.062%;5150943.0;37.309%;22211740.0;19346214.0;17208638.0;14254678.0;14423228.0;14.812%;12.422%;20.723%;-1.169%;9.019%;87444498.0;59.303%
Senegal;SL;1095901.0;1015733.0;981874.0;847966.0;872841.0;7.893%;3.448%;15.792%;-2.850%;4.657%;4814315.0;34.871%;6414700.0;5957500.0;5898700.0;5130130.0;5375680.0;7.674%;0.997%;14.981%;-4.568%;3.597%;28776710.0;19.516%
Senegal;X + B;468407.0;389075.0;277371.0;152460.0;97698.0;20.390%;40.272%;81.930%;56.052%;36.819%;1385011.0;10.032%;1437088.0;1134194.0;814358.0;455460.0;299516.0;26.706%;39.275%;78.799%;52.065%;36.840%;4140616.0;2.808%
Senegal;SL + B;475901.0;471613.0;450449.0;342629.0;356021.0;0.909%;4.698%;31.468%;-3.762%;5.976%;2096613.0;15.186%;5456070.0;5494110.0;5090610.0;4092490.0;4382290.0;-0.692%;7.926%;24.389%;-6.613%;4.481%;24515570.0;16.626%
Senegal;X;84394.0;83318.0;65029.0;43716.0;62286.0;1.291%;28.124%;48.753%;-29.814%;6.264%;338743.0;2.454%;201012.0;183680.0;145292.0;90328.0;137256.0;9.436%;26.421%;60.849%;-34.190%;7.929%;757568.0;0.514%
Senegal;GD;310.0;9353.0;6774.0;1726.0;1549.0;-96.686%;38.072%;292.468%;11.427%;-27.513%;19712.0;0.143%;2970.0;949590.0;831330.0;14760.0;13140.0;-99.687%;14.225%;5532.317%;12.329%;-25.727%;1811790.0;1.229%
Senegal;IAG;0.0;14.0;0.0;254.0;482.0;-100.000%;0.000%;-100.000%;-47.303%;-100.000%;750.0;0.005%;0.0;900.0;0.0;1920.0;3930.0;-100.000%;0.000%;-100.000%;-51.145%;-100.000%;6750.0;0.005%
Cameroon;B;963564.0;860116.0;715248.0;624124.0;532253.0;12.027%;20.254%;14.600%;17.261%;12.604%;3695305.0;36.667%;14421734.0;12511268.0;10212926.0;8742726.0;7006654.0;15.270%;22.504%;16.816%;24.777%;15.532%;52895308.0;40.577%
Cameroon;SL;906142.0;862519.0;742375.0;696303.0;621859.0;5.058%;16.184%;6.617%;11.971%;7.820%;3829198.0;37.996%;5651710.0;5265210.0;4486730.0;4270870.0;3741200.0;7.341%;17.351%;5.054%;14.158%;8.601%;23415720.0;17.963%
Cameroon;X + B;359416.0;284664.0;191023.0;140213.0;85977.0;26.260%;49.021%;36.238%;63.082%;33.120%;1061293.0;10.531%;1027520.0;816338.0;546876.0;401576.0;242630.0;25.869%;49.273%;36.182%;65.510%;33.466%;3034940.0;2.328%
Cameroon;SL + B;286234.0;236964.0;196219.0;223082.0;203356.0;20.792%;20.765%;-12.042%;9.700%;7.076%;1145855.0;11.370%;11205020.0;10144060.0;9442570.0;8896720.0;8550400.0;10.459%;7.429%;6.135%;4.050%;5.557%;48238770.0;37.005%
Cameroon;X;90432.0;75776.0;55438.0;48242.0;58710.0;19.341%;36.686%;14.916%;-17.830%;9.024%;328598.0;3.261%;216496.0;175028.0;125468.0;99792.0;135520.0;23.692%;39.500%;25.730%;-26.364%;9.822%;752304.0;0.577%
Cameroon;IAG;0.0;0.0;0.0;0.0;3.0;0.000%;0.000%;0.000%;-100.000%;-100.000%;3.0;0.000%;0.0;0.0;0.0;0.0;30.0;0.000%;0.000%;0.000%;-100.000%;-100.000%;30.0;0.000%
Cameroon;GD;0.0;9643.0;8126.0;0.0;0.0;-100.000%;18.668%;0.000%;0.000%;0.000%;17769.0;0.176%;0.0;1016010.0;1005480.0;0.0;0.0;-100.000%;1.047%;0.000%;0.000%;0.000%;2021490.0;1.551%
Mali;B;513007.0;480840.0;421887.0;374943.0;326768.0;6.690%;13.974%;12.520%;14.743%;9.440%;2117445.0;24.488%;7148332.0;6450788.0;5557106.0;4958962.0;4257324.0;10.813%;16.082%;12.062%;16.481%;10.921%;28372512.0;41.918%
Mali;SL + B;758856.0;694662.0;586607.0;520389.0;447741.0;9.241%;18.420%;12.725%;16.225%;11.129%;3008255.0;34.790%;5973210.0;5486450.0;4644920.0;4108810.0;3559140.0;8.872%;18.117%;13.048%;15.444%;10.910%;23772530.0;35.122%
Mali;X + B;556869.0;353374.0;208148.0;95056.0;45658.0;57.586%;69.771%;118.974%;108.191%;64.910%;1259105.0;14.562%;1676068.0;1024186.0;585274.0;242614.0;102312.0;63.649%;74.993%;141.237%;137.132%;74.934%;3630454.0;5.364%
Mali;SL;472750.0;423578.0;386754.0;326577.0;272579.0;11.609%;9.521%;18.427%;19.810%;11.642%;1882238.0;21.768%;2234780.0;2118920.0;2064900.0;2041750.0;2054500.0;5.468%;2.616%;1.134%;-0.621%;1.696%;10514850.0;15.535%
Mali;X;117492.0;93711.0;68765.0;52513.0;37362.0;25.377%;36.277%;30.949%;40.552%;25.752%;369843.0;4.277%;243936.0;184940.0;134064.0;87444.0;52416.0;31.900%;37.949%;53.314%;66.827%;36.007%;702800.0;1.038%
Mali;IAG;28.0;0.0;271.0;791.0;1487.0;0.000%;-100.000%;-65.740%;-46.806%;-54.818%;2577.0;0.030%;180.0;0.0;1530.0;6300.0;10980.0;0.000%;-100.000%;-75.714%;-42.623%;-56.053%;18990.0;0.028%
Mali;GD;0.0;5095.0;2238.0;0.0;0.0;-100.000%;127.659%;0.000%;0.000%;0.000%;7333.0;0.085%;0.0;454410.0;219510.0;0.0;0.0;-100.000%;107.011%;0.000%;0.000%;0.000%;673920.0;0.996%
